kitchen_name,human_name,context,object-type,from-location,from-x,from-y,from-orient,to-location,to-x,to-y,to-orient,arm,table_name
KITCHEN,THOMAS,TABLE-SETTING,SpoonSoup,SinkDrawerLeftTop_05qp,0.96921,0.83987,3.10899,IslandArea,-0.70125,1.18529,-0.02311,RIGHT,rectangular_table
KITCHEN,THOMAS,TABLE-SETTING,SpoonSoup,SinkDrawerLeftTop_05qp,1.19926,0.82122,-3.09478,IslandArea,-0.67434,1.16612,0.07456,RIGHT,rectangular_table
KITCHEN,THOMAS,TABLE-SETTING,SpoonSoup,SinkDrawerLeftTop_05qp,1.07832,0.83979,3.14079,IslandArea,-0.75685,1.20909,-0.01101,RIGHT,rectangular_table
KITCHEN,THOMAS,TABLE-SETTING,SpoonSoup,SinkDrawerLeftTop_05qp,1.10095,0.82735,-3.06576,IslandArea,-0.664,1.23964,-0.09426,RIGHT,rectangular_table
KITCHEN,THOMAS,TABLE-SETTING,SpoonSoup,SinkDrawerLeftTop_05qp,1.075,0.83804,3.13684,IslandArea,-0.72685,2.02539,-0.10288,RIGHT,rectangular_table
KITCHEN,THOMAS,TABLE-SETTING,SpoonSoup,SinkDrawerLeftTop_05qp,1.13417,0.83249,-3.13641,IslandArea,-0.69163,1.87027,-0.12547,RIGHT,rectangular_table
KITCHEN,THOMAS,TABLE-SETTING,SpoonSoup,SinkDrawerLeftTop_05qp,1.12518,0.8369,3.13776,IslandArea,-0.81213,0.66175,-1.49658,LEFT,rectangular_table
KITCHEN,THOMAS,TABLE-SETTING,SpoonSoup,SinkDrawerLeftTop_05qp,1.10024,0.81939,3.09951,IslandArea,-1.17475,1.03671,-3.05917,RIGHT,rectangular_table
KITCHEN,THOMAS,TABLE-SETTING,SpoonSoup,SinkDrawerLeftTop_05qp,1.17249,0.89254,3.10521,IslandArea,-0.67546,1.20835,-0.35662,RIGHT,rectangular_table
KITCHEN,THOMAS,TABLE-SETTING,SpoonSoup,SinkDrawerLeftTop_05qp,1.17249,0.89254,3.10521,IslandArea,-0.69117,1.23028,-0.12602,RIGHT,rectangular_table
